auditor,audit_item_id,terminal_state,post_action_label,answerable_yes_no,ambiguity_1_to_5,evidence_turn_or_reason,notes
author_02,AUTHOR_02-01,,,,,,
author_02,AUTHOR_02-02,,,,,,
author_02,AUTHOR_02-03,,,,,,
author_02,AUTHOR_02-04,,,,,,
author_02,AUTHOR_02-05,,,,,,
author_02,AUTHOR_02-06,,,,,,
author_02,AUTHOR_02-07,,,,,,
author_02,AUTHOR_02-08,,,,,,
author_02,AUTHOR_02-09,,,,,,
author_02,AUTHOR_02-10,,,,,,
author_02,AUTHOR_02-11,,,,,,
author_02,AUTHOR_02-12,,,,,,
author_02,AUTHOR_02-13,,,,,,
author_02,AUTHOR_02-14,,,,,,
author_02,AUTHOR_02-15,,,,,,
author_02,AUTHOR_02-16,,,,,,
author_02,AUTHOR_02-17,,,,,,
author_02,AUTHOR_02-18,,,,,,
author_02,AUTHOR_02-19,,,,,,
author_02,AUTHOR_02-20,,,,,,
author_02,AUTHOR_02-21,,,,,,
author_02,AUTHOR_02-22,,,,,,
author_02,AUTHOR_02-23,,,,,,
author_02,AUTHOR_02-24,,,,,,
author_02,AUTHOR_02-25,,,,,,
author_02,AUTHOR_02-26,,,,,,
author_02,AUTHOR_02-27,,,,,,
author_02,AUTHOR_02-28,,,,,,
author_02,AUTHOR_02-29,,,,,,
author_02,AUTHOR_02-30,,,,,,
author_02,AUTHOR_02-31,,,,,,
author_02,AUTHOR_02-32,,,,,,
author_02,AUTHOR_02-33,,,,,,
author_02,AUTHOR_02-34,,,,,,
author_02,AUTHOR_02-35,,,,,,
author_02,AUTHOR_02-36,,,,,,
author_02,AUTHOR_02-37,,,,,,
author_02,AUTHOR_02-38,,,,,,
author_02,AUTHOR_02-39,,,,,,
author_02,AUTHOR_02-40,,,,,,
author_02,AUTHOR_02-41,,,,,,
author_02,AUTHOR_02-42,,,,,,
author_02,AUTHOR_02-43,,,,,,
author_02,AUTHOR_02-44,,,,,,
author_02,AUTHOR_02-45,,,,,,
author_02,AUTHOR_02-46,,,,,,
author_02,AUTHOR_02-47,,,,,,
author_02,AUTHOR_02-48,,,,,,
author_02,AUTHOR_02-49,,,,,,
author_02,AUTHOR_02-50,,,,,,
author_02,AUTHOR_02-51,,,,,,
author_02,AUTHOR_02-52,,,,,,
author_02,AUTHOR_02-53,,,,,,
author_02,AUTHOR_02-54,,,,,,
author_02,AUTHOR_02-55,,,,,,
author_02,AUTHOR_02-56,,,,,,
author_02,AUTHOR_02-57,,,,,,
author_02,AUTHOR_02-58,,,,,,
author_02,AUTHOR_02-59,,,,,,
author_02,AUTHOR_02-60,,,,,,
author_02,AUTHOR_02-61,,,,,,
author_02,AUTHOR_02-62,,,,,,
author_02,AUTHOR_02-63,,,,,,
author_02,AUTHOR_02-64,,,,,,
author_02,AUTHOR_02-65,,,,,,
author_02,AUTHOR_02-66,,,,,,
author_02,AUTHOR_02-67,,,,,,
author_02,AUTHOR_02-68,,,,,,
author_02,AUTHOR_02-69,,,,,,
author_02,AUTHOR_02-70,,,,,,
author_02,AUTHOR_02-71,,,,,,
author_02,AUTHOR_02-72,,,,,,
author_02,AUTHOR_02-73,,,,,,
author_02,AUTHOR_02-74,,,,,,
author_02,AUTHOR_02-75,,,,,,
author_02,AUTHOR_02-76,,,,,,
author_02,AUTHOR_02-77,,,,,,
author_02,AUTHOR_02-78,,,,,,
author_02,AUTHOR_02-79,,,,,,
author_02,AUTHOR_02-80,,,,,,
author_02,AUTHOR_02-81,,,,,,
author_02,AUTHOR_02-82,,,,,,
author_02,AUTHOR_02-83,,,,,,
author_02,AUTHOR_02-84,,,,,,
