model,condition,n,trajectory_pass1,pass_k,pass_at_k,domain_ci_low,domain_ci_high,action_trajectory_success,pre_gap_success,post_gap_success,belief_validity,belief_pre_accuracy,belief_post_observation_accuracy,belief_pre_final_accuracy,revision_gain,stale_belief_persistence,brier,ece,prompt_tokens,completion_tokens,total_tokens,cost,model_calls
google/gemini-2.5-flash,__overall_partial__,1176,0.17261904761904762,,,,,0.46598639455782315,0.7397959183673469,0.657312925170068,0.9846938775510204,,,,,,,,21604803,391624,21996427,21.20179,16519
google/gemini-2.5-flash,full_audio,168,0.23809523809523808,2,0.3333333333333333,0.10119047619047619,0.3988095238095238,0.5595238095238095,0.7142857142857143,0.6011904761904762,0.996031746031746,0.32142857142857145,0.8273809523809523,0.7976190476190477,0.8199583333333333,0.025,0.6269512948207172,0.2960756972111554,3514770,55403,3570173,3.50565,2377
google/gemini-2.5-flash,gap_no_state_change,168,0.1130952380952381,2,0.20238095238095238,0.047619047619047616,0.19642857142857142,0.5416666666666666,0.75,0.5952380952380952,0.9920634920634921,0.27976190476190477,0.7678571428571429,0.6011904761904762,0.5298245614035088,0.020175438596491232,0.7955085614122799,0.368540198019802,3461586,54748,3516334,3.449944,2372
google/gemini-2.5-flash,clue_removed,168,0.16666666666666666,2,0.2619047619047619,0.05952380952380952,0.2976190476190476,0.5773809523809523,0.7321428571428571,0.6190476190476191,0.9920634920634921,0.25,0.8571428571428571,0.8035714285714286,0.8183333333333334,0.025609756097560974,0.63889,0.28422,3461120,54850,3515970,3.450422,2355
google/gemini-2.5-flash,transcript_only,168,0.4107142857142857,2,0.5476190476190477,0.23214285714285715,0.6071428571428571,0.7261904761904762,0.7857142857142857,0.7916666666666666,0.998015873015873,0.6011904761904762,0.9285714285714286,0.9583333333333334,0.8346969696969696,0.003787878787878788,0.31597673956262423,0.13459244532803177,695596,60148,755744,0.359049,2352
google/gemini-2.5-flash,neutral_audio,168,0.16071428571428573,2,0.27380952380952384,0.07142857142857142,0.2619047619047619,0.5476190476190477,0.6785714285714286,0.6071428571428571,0.996031746031746,0.27380952380952384,0.8154761904761905,0.7916666666666666,0.8203947368421053,0.024561403508771933,0.6546196215139443,0.30137450199203186,3459676,54188,3513864,3.450992,2359
google/gemini-2.5-flash,prosody_high,168,0.08333333333333333,2,0.15476190476190477,0.02976190476190476,0.14285714285714285,0.19047619047619047,0.7440476190476191,0.6547619047619048,0.9940476190476191,0.31547619047619047,0.8392857142857143,0.8273809523809523,0.84804,0.016800000000000002,0.6071825642837124,0.2879842295606806,3506936,56283,3563219,3.494482,2352
google/gemini-2.5-flash,prosody_low,168,0.03571428571428571,2,0.07142857142857142,0.005952380952380952,0.07142857142857142,0.11904761904761904,0.7738095238095238,0.7321428571428571,0.996031746031746,0.24404761904761904,0.8869047619047619,0.8630952380952381,0.7835769230769231,0.027615384615384615,0.6170560756972112,0.28272908366533855,3505119,56004,3561123,3.491251,2352
google/gemini-3-flash-preview,__overall_partial__,1176,0.4217687074829932,,,,,0.5433673469387755,0.8367346938775511,0.7397959183673469,1.0,,,,,,,,21827843,490243,22318086,22.264055,16670
google/gemini-3-flash-preview,full_audio,168,0.5654761904761905,2,0.7380952380952381,0.3869047619047619,0.7321428571428571,0.75,0.8154761904761905,0.7976190476190477,1.0,0.7202380952380952,0.9761904761904762,0.9464285714285714,0.9014598540145985,0.005839416058394161,0.1825,0.05843253968253968,3470992,68538,3539530,3.57492,2352
google/gemini-3-flash-preview,gap_no_state_change,168,0.34523809523809523,2,0.5119047619047619,0.22023809523809526,0.4761904761904762,0.4880952380952381,0.8333333333333334,0.5357142857142857,1.0,0.7321428571428571,0.8214285714285714,0.7202380952380952,0.758203125,0.026953125,0.39006914682539684,0.15309523809523806,3510108,69989,3580097,3.61691,2411
google/gemini-3-flash-preview,clue_removed,168,0.5357142857142857,2,0.6547619047619048,0.34523809523809523,0.7202380952380952,0.7142857142857143,0.7976190476190477,0.7797619047619048,1.0,0.7857142857142857,0.8511904761904762,0.9285714285714286,0.8097014925373134,0.04253731343283582,0.24725783730158732,0.06875000000000002,3505316,69208,3574524,3.610054,2399
google/gemini-3-flash-preview,transcript_only,168,0.6785714285714286,2,0.7738095238095238,0.48214285714285715,0.8511904761904762,0.7916666666666666,0.9166666666666666,0.7976190476190477,1.0,0.8035714285714286,0.9940476190476191,1.0,0.9149350649350649,0.0,0.09965277777777778,0.030853174603174688,812582,72535,885117,0.623896,2355
google/gemini-3-flash-preview,neutral_audio,168,0.5714285714285714,2,0.6785714285714286,0.38095238095238093,0.75,0.75,0.8511904761904762,0.7678571428571429,1.0,0.7261904761904762,0.9642857142857143,0.9702380952380952,0.8544055944055945,0.005244755244755245,0.1963642857142857,0.07079365079365085,3497695,69029,3566724,3.602123,2399
google/gemini-3-flash-preview,prosody_high,168,0.19642857142857142,2,0.3333333333333333,0.10714285714285714,0.2976190476190476,0.24404761904761904,0.8452380952380952,0.75,1.0,0.7083333333333334,0.9583333333333334,0.9642857142857143,0.8720422535211267,0.006338028169014085,0.21407222222222222,0.07109126984126983,3498804,70233,3569037,3.600122,2375
google/gemini-3-flash-preview,prosody_low,168,0.05952380952380952,2,0.10714285714285714,0.017857142857142856,0.10714285714285714,0.06547619047619048,0.7976190476190477,0.75,1.0,0.7380952380952381,0.9583333333333334,0.9464285714285714,0.8947761194029851,0.009701492537313432,0.21114603174603172,0.06607142857142859,3532346,70711,3603057,3.636029,2379
