model,condition,n,trajectory_pass1,pass_k,pass_at_k,domain_ci_low,domain_ci_high,action_trajectory_success,pre_gap_success,post_gap_success,belief_validity,belief_pre_accuracy,belief_post_observation_accuracy,belief_pre_final_accuracy,revision_gain,stale_belief_persistence,brier,ece,prompt_tokens,completion_tokens,total_tokens,cost,model_calls
fake,__overall_partial__,756,0.328042328042328,,,,,0.5198412698412699,0.7208994708994709,0.6878306878306878,1.0,,,,,,,,0,0,0,0.0,0
fake,full_audio,84,0.3333333333333333,1,0.3333333333333333,0.2738095238095238,0.39285714285714285,0.5476190476190477,0.7380952380952381,0.6904761904761905,1.0,0.75,0.75,0.75,0.48324074074074075,0.14788359788359787,0.404956216931217,0.3769047619047619,0,0,0,0.0,0
fake,gap_no_state_change,84,0.3333333333333333,1,0.3333333333333333,0.2738095238095238,0.39285714285714285,0.5476190476190477,0.7380952380952381,0.6904761904761905,1.0,0.75,0.75,0.75,0.44104885057471266,0.15385057471264368,0.404956216931217,0.3769047619047619,0,0,0,0.0,0
fake,state_change_short,84,0.7261904761904762,1,0.7261904761904762,0.6071428571428571,0.8452380952380952,0.8690476190476191,0.9404761904761905,0.9285714285714286,1.0,0.9404761904761905,0.9404761904761905,0.9642857142857143,0.6022890295358649,0.09559071729957805,0.16843716931216932,0.2856349206349206,0,0,0,0.0,0
fake,clue_removed,84,0.03571428571428571,1,0.03571428571428571,0.0,0.07142857142857142,0.16666666666666666,0.38095238095238093,0.42857142857142855,1.0,0.5119047619047619,0.4642857142857143,0.4166666666666667,0.22857142857142856,0.1605952380952381,0.7455724867724869,0.5083333333333334,0,0,0,0.0,0
fake,transcript_only,84,0.3333333333333333,1,0.3333333333333333,0.2738095238095238,0.39285714285714285,0.5476190476190477,0.7380952380952381,0.6904761904761905,1.0,0.75,0.75,0.75,0.48324074074074075,0.14788359788359787,0.404956216931217,0.3769047619047619,0,0,0,0.0,0
fake,neutral_audio,84,0.3333333333333333,1,0.3333333333333333,0.2738095238095238,0.39285714285714285,0.5476190476190477,0.7380952380952381,0.6904761904761905,1.0,0.75,0.75,0.75,0.48324074074074075,0.14788359788359787,0.404956216931217,0.3769047619047619,0,0,0,0.0,0
fake,hidden_user_action,84,0.3333333333333333,1,0.3333333333333333,0.2738095238095238,0.39285714285714285,0.5476190476190477,0.7380952380952381,0.6904761904761905,1.0,0.75,0.75,0.75,0.48324074074074075,0.14788359788359787,0.404956216931217,0.3769047619047619,0,0,0,0.0,0
fake,prosody_high,84,0.2619047619047619,1,0.2619047619047619,0.19047619047619047,0.3333333333333333,0.4523809523809524,0.7380952380952381,0.6904761904761905,1.0,0.75,0.75,0.75,0.48324074074074075,0.14788359788359787,0.404956216931217,0.3769047619047619,0,0,0,0.0,0
fake,prosody_low,84,0.2619047619047619,1,0.2619047619047619,0.19047619047619047,0.3333333333333333,0.4523809523809524,0.7380952380952381,0.6904761904761905,1.0,0.75,0.75,0.75,0.48324074074074075,0.14788359788359787,0.404956216931217,0.3769047619047619,0,0,0,0.0,0
