model,condition,n,trajectory_pass1,pass_k,pass_at_k,domain_ci_low,domain_ci_high,action_trajectory_success,pre_gap_success,post_gap_success,belief_validity,belief_pre_accuracy,belief_post_observation_accuracy,belief_pre_final_accuracy,revision_gain,stale_belief_persistence,brier,nll,normalized_entropy,ece,prompt_tokens,completion_tokens,total_tokens,cost,model_calls
fake,__overall_partial__,756,0.12962962962962962,,,,,0.5502645502645502,0.7275132275132276,0.7037037037037037,1.0,,,,,,,,,,0,0,0,0.0,0
fake,full_audio,84,0.11904761904761904,1,0.11904761904761904,0.05952380952380952,0.19047619047619047,0.5952380952380952,0.7380952380952381,0.7261904761904762,1.0,0.47619047619047616,0.42857142857142855,0.44047619047619047,0.4737916666666667,0.16497222222222221,0.5054934854497355,0.8306155625508752,0.6802193643143466,0.41442460317460317,0,0,0,0.0,0
fake,gap_no_state_change,84,0.11904761904761904,1,0.11904761904761904,0.05952380952380952,0.19047619047619047,0.5952380952380952,0.7380952380952381,0.7261904761904762,1.0,0.47619047619047616,0.42857142857142855,0.44047619047619047,0.4571408045977012,0.16767241379310344,0.5054934854497355,0.8306155625508752,0.6802193643143466,0.41442460317460317,0,0,0,0.0,0
fake,state_change_short,84,0.35714285714285715,1,0.35714285714285715,0.2738095238095238,0.4404761904761904,0.8690476190476191,0.9523809523809523,0.9047619047619048,1.0,0.7976190476190477,0.6785714285714286,0.7619047619047619,0.5877597402597403,0.12937229437229436,0.21792463624338626,0.43488486982035934,0.6808306410740871,0.29007936507936505,0,0,0,0.0,0
fake,clue_removed,84,0.0,1,0.0,0.0,0.0,0.13095238095238096,0.42857142857142855,0.34523809523809523,1.0,0.2261904761904762,0.17857142857142858,0.17857142857142858,0.2943287037037037,0.2373148148148148,0.811401951058201,1.248795672062059,0.6735771677847034,0.5464285714285714,0,0,0,0.0,0
fake,transcript_only,84,0.11904761904761904,1,0.11904761904761904,0.05952380952380952,0.19047619047619047,0.5952380952380952,0.7380952380952381,0.7261904761904762,1.0,0.47619047619047616,0.42857142857142855,0.44047619047619047,0.4737916666666667,0.16497222222222221,0.5054934854497355,0.8306155625508752,0.6802193643143466,0.41442460317460317,0,0,0,0.0,0
fake,neutral_audio,84,0.11904761904761904,1,0.11904761904761904,0.05952380952380952,0.19047619047619047,0.5952380952380952,0.7380952380952381,0.7261904761904762,1.0,0.47619047619047616,0.42857142857142855,0.44047619047619047,0.4737916666666667,0.16497222222222221,0.5054934854497355,0.8306155625508752,0.6802193643143466,0.41442460317460317,0,0,0,0.0,0
fake,hidden_user_action,84,0.11904761904761904,1,0.11904761904761904,0.05952380952380952,0.19047619047619047,0.5952380952380952,0.7380952380952381,0.7261904761904762,1.0,0.47619047619047616,0.42857142857142855,0.44047619047619047,0.36445601851851855,0.2575694444444444,0.5054934854497355,0.8306155625508752,0.6802193643143466,0.41442460317460317,0,0,0,0.0,0
fake,prosody_high,84,0.10714285714285714,1,0.10714285714285714,0.047619047619047616,0.17857142857142858,0.4880952380952381,0.7380952380952381,0.7261904761904762,1.0,0.47619047619047616,0.42857142857142855,0.44047619047619047,0.4737916666666667,0.16497222222222221,0.5054934854497355,0.8306155625508752,0.6802193643143466,0.41442460317460317,0,0,0,0.0,0
fake,prosody_low,84,0.10714285714285714,1,0.10714285714285714,0.047619047619047616,0.17857142857142858,0.4880952380952381,0.7380952380952381,0.7261904761904762,1.0,0.47619047619047616,0.42857142857142855,0.44047619047619047,0.4737916666666667,0.16497222222222221,0.5054934854497355,0.8306155625508752,0.6802193643143466,0.41442460317460317,0,0,0,0.0,0
